node_id,tipo_nodo,etiqueta,categoria_principal,confianza_categoria,categorias,polaridad,polaridad_score,coincidencias_positivas,coincidencias_negativas,peso_coincidente
forma,palabra,forma,,0.0,,neutral,0.0,0,0,0
precio,palabra,precio,,0.0,,neutral,0.0,0,0,0
justo,palabra,justo,,0.0,,positiva,1.0,1,0,1
aprender,palabra,aprender,,0.0,,neutral,0.0,0,0,0
espanol,palabra,espanol,,0.0,,neutral,0.0,0,0,0
ingles,palabra,ingles,,0.0,,neutral,0.0,0,0,0
wow,palabra,wow,,0.0,,neutral,0.0,0,0,0
supuesto,palabra,supuesto,,0.0,,positiva,1.0,1,0,1
asta,palabra,asta,,0.0,,neutral,0.0,0,0,0
realmente,palabra,realmente,,0.0,,neutral,0.0,0,0,0
rato,palabra,rato,,0.0,,neutral,0.0,0,0,0
tonto,palabra,tonto,,0.0,,negativa,-1.0,0,1,1
jaja,palabra,jaja,,0.0,,negativa,-1.0,0,1,1
papel,palabra,papel,,0.0,,neutral,0.0,0,0,0
perfecto,palabra,perfecto,,0.0,,positiva,1.0,1,0,1
texas,palabra,texas,,0.0,,neutral,0.0,0,0,0
vendido,palabra,vendido,Corrupcion,0.7596,Corrupcion,neutral,0.0,0,0,1
comentar,palabra,comentar,,0.0,,neutral,0.0,0,0,0
mover,palabra,mover,,0.0,,neutral,0.0,0,0,0
obvio,palabra,obvio,,0.0,,neutral,0.0,0,0,0
tienda,palabra,tienda,,0.0,,neutral,0.0,0,0,0
vista,palabra,vista,,0.0,,neutral,0.0,0,0,0
aparecer,palabra,aparecer,,0.0,,neutral,0.0,0,0,0
pura,palabra,pura,,0.0,,positiva,1.0,1,0,1
tristeza,palabra,tristeza,,0.0,,negativa,-1.0,0,1,1
metar,palabra,metar,,0.0,,neutral,0.0,0,0,0
carpeta,palabra,carpeta,Delitos,0.8109,Delitos,neutral,0.0,0,0,1
controlar,palabra,controlar,,0.0,,neutral,0.0,0,0,0
reir,palabra,reir,,0.0,,neutral,0.0,0,0,0
cuento,palabra,cuento,,0.0,,neutral,0.0,0,0,0
bailar,palabra,bailar,,0.0,,neutral,0.0,0,0,0
barato,palabra,barato,,0.0,,positiva,1.0,1,0,1
dedo,palabra,dedo,,0.0,,neutral,0.0,0,0,0
pendejada,palabra,pendejada,,0.0,,neutral,0.0,0,0,0
compra,palabra,compra,,0.0,,neutral,0.0,0,0,0
cabron,palabra,cabron,,0.0,,negativa,-1.0,0,1,1
tapar,palabra,tapar,,0.0,,negativa,-1.0,0,1,1
dolar,palabra,dolar,,0.0,,neutral,0.0,0,0,0
pelicula,palabra,pelicula,,0.0,,neutral,0.0,0,0,0
ahorita,palabra,ahorita,,0.0,,neutral,0.0,0,0,0
ignorancia,palabra,ignorancia,,0.0,,negativa,-1.0,0,1,1
jente,palabra,jente,,0.0,,neutral,0.0,0,0,0
coahuila,palabra,coahuila,,0.0,,neutral,0.0,0,0,0
queretaro,palabra,queretaro,,0.0,,neutral,0.0,0,0,0
planeta,palabra,planeta,,0.0,,neutral,0.0,0,0,0
oir,palabra,oir,,0.0,,neutral,0.0,0,0,0
reportero,palabra,reportero,,0.0,,neutral,0.0,0,0,0
todavia,palabra,todavia,,0.0,,neutral,0.0,0,0,0
terror,palabra,terror,,0.0,,negativa,-1.0,0,1,1
bano,palabra,bano,,0.0,,neutral,0.0,0,0,0
litro,palabra,litro,,0.0,,negativa,-1.0,0,1,1
nadamas,palabra,nadamas,,0.0,,neutral,0.0,0,0,0
rene,palabra,rene,,0.0,,neutral,0.0,0,0,0
extrano,palabra,extrano,,0.0,,negativa,-1.0,0,1,1
tijuana,palabra,tijuana,,0.0,,neutral,0.0,0,0,0
tia,palabra,tia,,0.0,,neutral,0.0,0,0,0
probar,palabra,probar,,0.0,,positiva,1.0,1,0,1
salio,palabra,salio,,0.0,,neutral,0.0,0,0,0
caray,palabra,caray,,0.0,,neutral,0.0,0,0,0
inventar,palabra,inventar,,0.0,,negativa,-1.0,0,1,1
verga,palabra,verga,,0.0,,negativa,-1.0,0,1,1
alv,palabra,alv,,0.0,,neutral,0.0,0,0,0
perra,palabra,perra,,0.0,,negativa,-1.0,0,1,1
fondo,palabra,fondo,,0.0,,neutral,0.0,0,0,0
corto,palabra,corto,,0.0,,negativa,-1.0,0,1,1
porfa,palabra,porfa,,0.0,,neutral,0.0,0,0,0
frijol,palabra,frijol,,0.0,,neutral,0.0,0,0,0
chingar,palabra,chingar,,0.0,,negativa,-1.0,0,1,1
chingon,palabra,chingon,,0.0,,neutral,0.0,0,0,0
latino,palabra,latino,,0.0,,neutral,0.0,0,0,0
armar,palabra,armar,,0.0,,neutral,0.0,0,0,0
jajaj,palabra,jajaj,,0.0,,neutral,0.0,0,0,0
neta,palabra,neta,,0.0,,neutral,0.0,0,0,0
evidencia,palabra,evidencia,,0.0,,neutral,0.0,0,0,0
miren,palabra,miren,,0.0,,neutral,0.0,0,0,0
raza,palabra,raza,,0.0,,neutral,0.0,0,0,0
noboa,palabra,noboa,,0.0,,neutral,0.0,0,0,0
pasajero,palabra,pasajero,,0.0,,neutral,0.0,0,0,0
pasaje,palabra,pasaje,,0.0,,neutral,0.0,0,0,0
creacion,palabra,creacion,,0.0,,neutral,0.0,0,0,0
equivocar,palabra,equivocar,,0.0,,negativa,-1.0,0,1,1
presupuesto,palabra,presupuesto,Obras,0.8329,Obras,neutral,0.0,0,0,1
duena,palabra,duena,,0.0,,neutral,0.0,0,0,0
soler,palabra,soler,,0.0,,neutral,0.0,0,0,0
fortuna,palabra,fortuna,,0.0,,positiva,1.0,1,0,1
protegido,palabra,protegido,Corrupcion,0.6984,Corrupcion | Prevencion,neutral,0.0,0,0,1
periodistico,palabra,periodistico,,0.0,,neutral,0.0,0,0,0
contenido,palabra,contenido,,0.0,,neutral,0.0,0,0,0
corrido,palabra,corrido,,0.0,,neutral,0.0,0,0,0
perdonar,palabra,perdonar,,0.0,,neutral,0.0,0,0,0
pelar,palabra,pelar,,0.0,,negativa,-1.0,0,1,1
neto,palabra,neto,,0.0,,neutral,0.0,0,0,0
obviamente,palabra,obviamente,,0.0,,neutral,0.0,0,0,0
pesimo,palabra,pesimo,,0.0,,negativa,-1.0,0,1,1
poderoso,palabra,poderoso,,0.0,,positiva,1.0,1,0,1
patrulla,palabra,patrulla,Prevencion,0.7217,Prevencion,neutral,0.0,0,0,1
mire,palabra,mire,,0.0,,negativa,-1.0,0,1,1
osea,palabra,osea,,0.0,,neutral,0.0,0,0,0
compa,palabra,compa,,0.0,,neutral,0.0,0,0,0
credibilidad,palabra,credibilidad,,0.0,,neutral,0.0,0,0,0
gracios,palabra,gracios,,0.0,,neutral,0.0,0,0,0
shit,palabra,shit,,0.0,,neutral,0.0,0,0,0
way,palabra,way,,0.0,,neutral,0.0,0,0,0
primo,palabra,primo,,0.0,,neutral,0.0,0,0,0
carnal,palabra,carnal,,0.0,,neutral,0.0,0,0,0
yucatan,palabra,yucatan,,0.0,,neutral,0.0,0,0,0
onda,palabra,onda,,0.0,,neutral,0.0,0,0,0
depender,palabra,depender,,0.0,,neutral,0.0,0,0,0
ahorrar,palabra,ahorrar,,0.0,,neutral,0.0,0,0,0
titulo,palabra,titulo,,0.0,,neutral,0.0,0,0,0
pesado,palabra,pesado,,0.0,,negativa,-1.0,0,1,1
comparar,palabra,comparar,,0.0,,neutral,0.0,0,0,0
jajar,palabra,jajar,,0.0,,neutral,0.0,0,0,0
cortina,palabra,cortina,,0.0,,neutral,0.0,0,0,0
ganancia,palabra,ganancia,,0.0,,positiva,1.0,1,0,1
vas,palabra,vas,,0.0,,neutral,0.0,0,0,0
tamano,palabra,tamano,,0.0,,neutral,0.0,0,0,0
jajajar,palabra,jajajar,,0.0,,neutral,0.0,0,0,0
presion,palabra,presion,Agua,0.8716,Agua,neutral,0.0,0,0,1
tubo,palabra,tubo,Agua,0.6215,Agua,neutral,0.0,0,0,1
tono,palabra,tono,,0.0,,neutral,0.0,0,0,0
demas,palabra,demas,,0.0,,neutral,0.0,0,0,0
gue,palabra,gue,,0.0,,neutral,0.0,0,0,0
ejemplar,palabra,ejemplar,,0.0,,positiva,1.0,1,0,1
puto,palabra,puto,,0.0,,negativa,-1.0,0,1,1
izquierdo,palabra,izquierdo,,0.0,,negativa,-1.0,0,1,1
daniela,palabra,daniela,,0.0,,neutral,0.0,0,0,0
barrer,palabra,barrer,Basura,0.575,Basura,neutral,0.0,0,0,1
tumbar,palabra,tumbar,,0.0,,neutral,0.0,0,0,0
metido,palabra,metido,,0.0,,negativa,-1.0,0,1,1
audio,palabra,audio,,0.0,,neutral,0.0,0,0,0
chulado,palabra,chulado,,0.0,,neutral,0.0,0,0,0
mata,palabra,mata,,0.0,,negativa,-1.0,0,1,1
joder,palabra,joder,,0.0,,neutral,0.0,0,0,0
descubrir,palabra,descubrir,,0.0,,neutral,0.0,0,0,0
gozar,palabra,gozar,,0.0,,positiva,1.0,1,0,1
comprado,palabra,comprado,Corrupcion,0.6765,Corrupcion,neutral,0.0,0,0,1
ciudadanos,palabra,ciudadanos,,0.0,,neutral,0.0,0,0,0
tamps,palabra,tamps,,0.0,,neutral,0.0,0,0,0
prender,palabra,prender,,0.0,,neutral,0.0,0,0,0
religion,palabra,religion,,0.0,,neutral,0.0,0,0,0
topar,palabra,topar,,0.0,,neutral,0.0,0,0,0
ves,palabra,ves,,0.0,,neutral,0.0,0,0,0
agusto,palabra,agusto,,0.0,,neutral,0.0,0,0,0
confundir,palabra,confundir,,0.0,,negativa,-1.0,0,1,1
leche,palabra,leche,,0.0,,negativa,-1.0,0,1,1
cedillo,palabra,cedillo,,0.0,,neutral,0.0,0,0,0
pecado,palabra,pecado,,0.0,,negativa,-1.0,0,1,1
tepito,palabra,tepito,,0.0,,neutral,0.0,0,0,0
triple,palabra,triple,,0.0,,neutral,0.0,0,0,0
faltar,palabra,faltar,,0.0,,negativa,-1.0,0,1,1
favor,palabra,favor,,0.0,,positiva,1.0,1,0,1
alias,palabra,alias,,0.0,,neutral,0.0,0,0,0
pago,palabra,pago,,0.0,,neutral,0.0,0,0,0
paypal,palabra,paypal,,0.0,,neutral,0.0,0,0,0
equipo,palabra,equipo,,0.0,,neutral,0.0,0,0,0
nivel,palabra,nivel,,0.0,,neutral,0.0,0,0,0
banco,palabra,banco,,0.0,,neutral,0.0,0,0,0
pesos,palabra,pesos,,0.0,,neutral,0.0,0,0,0
brava,palabra,brava,,0.0,,neutral,0.0,0,0,0
federal,palabra,federal,,0.0,,neutral,0.0,0,0,0
aca,palabra,aca,,0.0,,neutral,0.0,0,0,0
marcha,palabra,marcha,,0.0,,neutral,0.0,0,0,0
sueldo,palabra,sueldo,,0.0,,neutral,0.0,0,0,0
santander,palabra,santander,,0.0,,neutral,0.0,0,0,0
ladron,palabra,ladron,Corrupcion,0.8343,Corrupcion | Delitos | Morena,negativa,-1.0,0,1,1
liga,palabra,liga,,0.0,,neutral,0.0,0,0,0
muchisimas,palabra,muchisimas,,0.0,,neutral,0.0,0,0,0
aumento,palabra,aumento,,0.0,,neutral,0.0,0,0,0
nacion,palabra,nacion,,0.0,,neutral,0.0,0,0,0
alcanzar,palabra,alcanzar,,0.0,,positiva,1.0,1,0,1
juntar,palabra,juntar,,0.0,,neutral,0.0,0,0,0
piso,palabra,piso,,0.0,,negativa,-1.0,0,1,1
estadio,palabra,estadio,,0.0,,neutral,0.0,0,0,0
seleccion,palabra,seleccion,,0.0,,neutral,0.0,0,0,0
pata,palabra,pata,,0.0,,neutral,0.0,0,0,0
comunicacion,palabra,comunicacion,,0.0,,neutral,0.0,0,0,0
moya,palabra,moya,,0.0,,neutral,0.0,0,0,0
rocha,palabra,rocha,,0.0,,neutral,0.0,0,0,0
nuevamente,palabra,nuevamente,,0.0,,neutral,0.0,0,0,0
audiencia,palabra,audiencia,,0.0,,neutral,0.0,0,0,0
patita,palabra,patita,,0.0,,neutral,0.0,0,0,0
camiseta,palabra,camiseta,,0.0,,neutral,0.0,0,0,0
cerrar,palabra,cerrar,,0.0,,neutral,0.0,0,0,0
canasta,palabra,canasta,,0.0,,neutral,0.0,0,0,0
fernando,palabra,fernando,,0.0,,neutral,0.0,0,0,0
tamayo,palabra,tamayo,,0.0,,neutral,0.0,0,0,0
chicos,palabra,chicos,,0.0,,neutral,0.0,0,0,0
traslado,palabra,traslado,,0.0,,neutral,0.0,0,0,0
antirrabico,palabra,antirrabico,,0.0,,neutral,0.0,0,0,0
reparacion,palabra,reparacion,,0.0,,neutral,0.0,0,0,0
cholula,palabra,cholula,,0.0,,neutral,0.0,0,0,0
profesor,palabra,profesor,,0.0,,neutral,0.0,0,0,0
jubilado,palabra,jubilado,,0.0,,neutral,0.0,0,0,0
cantidad,palabra,cantidad,,0.0,,neutral,0.0,0,0,0
desgracia,palabra,desgracia,,0.0,,negativa,-1.0,0,1,1
involucrado,palabra,involucrado,,0.0,,neutral,0.0,0,0,0
panuco,palabra,panuco,,0.0,,neutral,0.0,0,0,0
informe,palabra,informe,,0.0,,neutral,0.0,0,0,0
quieren,palabra,quieren,,0.0,,neutral,0.0,0,0,0
alejandro,palabra,alejandro,,0.0,,neutral,0.0,0,0,0
jalisco,palabra,jalisco,,0.0,,neutral,0.0,0,0,0
mediocre,palabra,mediocre,,0.0,,negativa,-1.0,0,1,1
material,palabra,material,,0.0,,neutral,0.0,0,0,0
asunto,palabra,asunto,,0.0,,neutral,0.0,0,0,0
mundialista,palabra,mundialista,,0.0,,neutral,0.0,0,0,0
profeco,palabra,profeco,,0.0,,neutral,0.0,0,0,0
vividor,palabra,vividor,,0.0,,neutral,0.0,0,0,0
angela,palabra,angela,,0.0,,neutral,0.0,0,0,0
cuantos,palabra,cuantos,,0.0,,neutral,0.0,0,0,0
delgado,palabra,delgado,,0.0,,positiva,1.0,1,0,1
joel,palabra,joel,,0.0,,neutral,0.0,0,0,0
villegas,palabra,villegas,,0.0,,neutral,0.0,0,0,0
club,palabra,club,,0.0,,neutral,0.0,0,0,0
organizar,palabra,organizar,,0.0,,neutral,0.0,0,0,0
atleta,palabra,atleta,,0.0,,neutral,0.0,0,0,0
gabinete,palabra,gabinete,,0.0,,neutral,0.0,0,0,0
fernandez,palabra,fernandez,,0.0,,neutral,0.0,0,0,0
tercer,palabra,tercer,,0.0,,neutral,0.0,0,0,0
potosi,palabra,potosi,,0.0,,neutral,0.0,0,0,0
valles,palabra,valles,,0.0,,neutral,0.0,0,0,0
documento,palabra,documento,,0.0,,neutral,0.0,0,0,0
nacimiento,palabra,nacimiento,,0.0,,neutral,0.0,0,0,0
cirugia,palabra,cirugia,,0.0,,neutral,0.0,0,0,0
ubeir,palabra,ubeir,,0.0,,neutral,0.0,0,0,0
beltran,palabra,beltran,,0.0,,neutral,0.0,0,0,0
estacion,palabra,estacion,,0.0,,neutral,0.0,0,0,0
natalia,palabra,natalia,,0.0,,neutral,0.0,0,0,0
atendido,palabra,atendido,,0.0,,neutral,0.0,0,0,0
itea,palabra,itea,,0.0,,neutral,0.0,0,0,0
independiente,palabra,independiente,,0.0,,neutral,0.0,0,0,0
kilo,palabra,kilo,,0.0,,neutral,0.0,0,0,0
contrato,palabra,contrato,Obras,0.7765,Obras,positiva,1.0,1,0,1
obrero,palabra,obrero,,0.0,,neutral,0.0,0,0,0
croc,palabra,croc,,0.0,,neutral,0.0,0,0,0
recibido,palabra,recibido,,0.0,,neutral,0.0,0,0,0
concesion,palabra,concesion,,0.0,,negativa,-1.0,0,1,1
gallina,palabra,gallina,,0.0,,neutral,0.0,0,0,0
halloween,palabra,halloween,,0.0,,neutral,0.0,0,0,0
tellez,palabra,tellez,,0.0,,neutral,0.0,0,0,0
perjudicar,palabra,perjudicar,,0.0,,negativa,-1.0,0,1,1
lanzar,palabra,lanzar,,0.0,,neutral,0.0,0,0,0
chillar,palabra,chillar,,0.0,,neutral,0.0,0,0,0
incansable,palabra,incansable,,0.0,,negativa,-1.0,0,1,1
loca,palabra,loca,,0.0,,negativa,-1.0,0,1,1
urgencia,palabra,urgencia,,0.0,,negativa,-1.0,0,1,1
salida,palabra,salida,,0.0,,neutral,0.0,0,0,0
cagar,palabra,cagar,,0.0,,negativa,-1.0,0,1,1
latinoamerica,palabra,latinoamerica,,0.0,,neutral,0.0,0,0,0
rancho,palabra,rancho,,0.0,,neutral,0.0,0,0,0
ecologico,palabra,ecologico,,0.0,,neutral,0.0,0,0,0
tonteria,palabra,tonteria,,0.0,,negativa,-1.0,0,1,1
tenor,palabra,tenor,,0.0,,neutral,0.0,0,0,0
reunido,palabra,reunido,,0.0,,neutral,0.0,0,0,0
bacheo,palabra,bacheo,Vialidad,0.6387,Vialidad,neutral,0.0,0,0,1
policiaco,palabra,policiaco,Prevencion,0.5305,Prevencion,neutral,0.0,0,0,1
aportacion,palabra,aportacion,,0.0,,neutral,0.0,0,0,0
link,palabra,link,,0.0,,neutral,0.0,0,0,0
indicar,palabra,indicar,,0.0,,neutral,0.0,0,0,0
tigres,palabra,tigres,,0.0,,neutral,0.0,0,0,0
trasladar,palabra,trasladar,,0.0,,neutral,0.0,0,0,0
compliz,palabra,compliz,,0.0,,neutral,0.0,0,0,0
tmb,palabra,tmb,,0.0,,neutral,0.0,0,0,0
tanta,palabra,tanta,,0.0,,neutral,0.0,0,0,0
bonilla,palabra,bonilla,,0.0,,neutral,0.0,0,0,0
chavo,palabra,chavo,,0.0,,neutral,0.0,0,0,0
maldonado,palabra,maldonado,,0.0,,neutral,0.0,0,0,0
foi,palabra,foi,,0.0,,neutral,0.0,0,0,0
sentencia,palabra,sentencia,,0.0,,neutral,0.0,0,0,0
aguirre,palabra,aguirre,,0.0,,neutral,0.0,0,0,0
qui,palabra,qui,,0.0,,neutral,0.0,0,0,0
deje,palabra,deje,,0.0,,neutral,0.0,0,0,0
hagas,palabra,hagas,,0.0,,neutral,0.0,0,0,0
ajedrez,palabra,ajedrez,,0.0,,neutral,0.0,0,0,0
aseo,palabra,aseo,Basura,0.5271,Basura,neutral,0.0,0,0,1
mediano,palabra,mediano,,0.0,,neutral,0.0,0,0,0
culminar,palabra,culminar,,0.0,,neutral,0.0,0,0,0
oye,palabra,oye,,0.0,,neutral,0.0,0,0,0
enserio,palabra,enserio,,0.0,,neutral,0.0,0,0,0
consumidor,palabra,consumidor,,0.0,,neutral,0.0,0,0,0
jabon,palabra,jabon,,0.0,,neutral,0.0,0,0,0
pecho,palabra,pecho,,0.0,,neutral,0.0,0,0,0
ninas,palabra,ninas,,0.0,,neutral,0.0,0,0,0
fernanda,palabra,fernanda,,0.0,,neutral,0.0,0,0,0
karen,palabra,karen,,0.0,,neutral,0.0,0,0,0
pese,palabra,pese,,0.0,,neutral,0.0,0,0,0
monito,palabra,monito,,0.0,,neutral,0.0,0,0,0
enteer,palabra,enteer,,0.0,,neutral,0.0,0,0,0
derrota,palabra,derrota,,0.0,,positiva,1.0,1,0,1
desmentir,palabra,desmentir,,0.0,,neutral,0.0,0,0,0
var,palabra,var,,0.0,,neutral,0.0,0,0,0
num,palabra,num,,0.0,,neutral,0.0,0,0,0
muneco,palabra,muneco,,0.0,,neutral,0.0,0,0,0
chinguir,palabra,chinguir,,0.0,,neutral,0.0,0,0,0
preocupir,palabra,preocupir,,0.0,,neutral,0.0,0,0,0
mateo,palabra,mateo,,0.0,,neutral,0.0,0,0,0
ojeda,palabra,ojeda,,0.0,,neutral,0.0,0,0,0
rostro,palabra,rostro,,0.0,,neutral,0.0,0,0,0
panico,palabra,panico,,0.0,,negativa,-1.0,0,1,1
enojo,palabra,enojo,,0.0,,negativa,-1.0,0,1,1
mayores,palabra,mayores,,0.0,,neutral,0.0,0,0,0
conformar,palabra,conformar,,0.0,,neutral,0.0,0,0,0
proyeccion,palabra,proyeccion,,0.0,,neutral,0.0,0,0,0
publicamente,palabra,publicamente,,0.0,,neutral,0.0,0,0,0
vacacional,palabra,vacacional,,0.0,,neutral,0.0,0,0,0
valdez,palabra,valdez,,0.0,,neutral,0.0,0,0,0
eventual,palabra,eventual,,0.0,,neutral,0.0,0,0,0
ano,palabra,ano,,0.0,,negativa,-1.0,0,1,1
hija,palabra,hija,,0.0,,neutral,0.0,0,0,0
recordar,palabra,recordar,,0.0,,neutral,0.0,0,0,0
joven,palabra,joven,,0.0,,neutral,0.0,0,0,0
recibir,palabra,recibir,,0.0,,negativa,-1.0,0,1,1
tratar,palabra,tratar,,0.0,,neutral,0.0,0,0,0
numero,palabra,numero,,0.0,,neutral,0.0,0,0,0
robo,palabra,robo,Corrupcion,0.9196,Corrupcion | Delitos,negativa,-1.0,0,1,1
detener,palabra,detener,Delitos,0.7964,Delitos | Obras,neutral,0.0,0,0,1
votar,palabra,votar,,0.0,,neutral,0.0,0,0,0
muerte,palabra,muerte,,0.0,,negativa,-1.0,0,1,1
ojo,palabra,ojo,,0.0,,neutral,0.0,0,0,0
cuerpo,palabra,cuerpo,,0.0,,positiva,1.0,1,0,1
razon,palabra,razon,,0.0,,neutral,0.0,0,0,0
muerto,palabra,muerto,,0.0,,negativa,-1.0,0,1,1
riobravo,palabra,riobravo,,0.0,,neutral,0.0,0,0,0
vallehermoso,palabra,vallehermoso,,0.0,,neutral,0.0,0,0,0
sufrir,palabra,sufrir,,0.0,,negativa,-1.0,0,1,1
campana,palabra,campana,,0.0,,negativa,-1.0,0,1,1
victima,palabra,victima,,0.0,,negativa,-1.0,0,1,1
blanco,palabra,blanco,,0.0,,neutral,0.0,0,0,0
color,palabra,color,,0.0,,negativa,-1.0,0,1,1
luchar,palabra,luchar,,0.0,,negativa,-1.0,0,1,1
comenzar,palabra,comenzar,,0.0,,positiva,1.0,1,0,1
asesino,palabra,asesino,,0.0,,negativa,-1.0,0,1,1
superar,palabra,superar,,0.0,,positiva,1.0,1,0,1
consecuencia,palabra,consecuencia,,0.0,,neutral,0.0,0,0,0
asesinato,palabra,asesinato,Delitos,0.7514,Delitos,negativa,-1.0,0,1,1
pagina,palabra,pagina,,0.0,,neutral,0.0,0,0,0
puta,palabra,puta,,0.0,,negativa,-1.0,0,1,1
azul,palabra,azul,,0.0,,neutral,0.0,0,0,0
pareja,palabra,pareja,,0.0,,neutral,0.0,0,0,0
cansar,palabra,cansar,,0.0,,negativa,-1.0,0,1,1
originario,palabra,originario,,0.0,,neutral,0.0,0,0,0
igualmente,palabra,igualmente,,0.0,,positiva,1.0,1,0,1
entero,palabra,entero,,0.0,,neutral,0.0,0,0,0
merecido,palabra,merecido,,0.0,,neutral,0.0,0,0,0
lejos,palabra,lejos,,0.0,,negativa,-1.0,0,1,1
cuestion,palabra,cuestion,,0.0,,negativa,-1.0,0,1,1
signo,palabra,signo,,0.0,,neutral,0.0,0,0,0
salvar,palabra,salvar,,0.0,,neutral,0.0,0,0,0
gustavo,palabra,gustavo,,0.0,,neutral,0.0,0,0,0
relacion,palabra,relacion,,0.0,,neutral,0.0,0,0,0
miss,palabra,miss,,0.0,,negativa,-1.0,0,1,1
aburrido,palabra,aburrido,,0.0,,negativa,-1.0,0,1,1
exacto,palabra,exacto,,0.0,,positiva,1.0,1,0,1
decente,palabra,decente,,0.0,,positiva,1.0,1,0,1
brazo,palabra,brazo,,0.0,,neutral,0.0,0,0,0
conchita,palabra,conchita,,0.0,,negativa,-1.0,0,1,1
intencion,palabra,intencion,,0.0,,positiva,1.0,1,0,1
traje,palabra,traje,,0.0,,neutral,0.0,0,0,0
chingo,palabra,chingo,,0.0,,neutral,0.0,0,0,0
carta,palabra,carta,,0.0,,neutral,0.0,0,0,0
